"","theta","item","info","prob","diff"
"1",-6,"V1",0.00108072904143547,0.00108189954806758,0.82795445676805
"2",-6,"V2",0.00927911194849809,0.00936684982412581,-1.33883255731887
"3",-6,"V3",0.00103351898990218,0.00103458936505646,0.87271555480607
"4",-6,"V4",0.0119046642349543,0.0120498634439727,-1.59342110002064
"5",-6,"V5",0.00142220206765851,0.00142423050017614,0.552698365309909
"6",-6,"V6",0.0285111901227249,0.0293740233717702,-2.50216952490582
"7",-6,"V7",0.00276579172261184,0.00277348393575372,-0.115126326634386
"8",-6,"V8",0.00526720344453125,0.00529524304342014,-0.764362912101745
"9",-6,"V9",0.000722911296396535,0.000723434654095281,1.23077663866211
"10",-6,"V10",0.010460989480692,0.0105727730098089,-1.46115589556288
"11",-6,"V11",0.0015478561847778,0.00155025948926184,0.467781487251019
"12",-6,"V12",0.0283879322798293,0.0292430906293879,-2.49756724182968
"13",-6,"V13",0.00784199529629324,0.0079044760377242,-1.16760978911115
"14",-6,"V14",0.00108387093922064,0.00108504826896663,0.825045168092404
"15",-6,"V15",0.00154807593123755,0.00155047991921744,0.467639087516328
"16",-6,"V16",0.00552234753274873,0.00555318540084489,-0.812185091886814
"17",-6,"V17",0.00503406730805386,0.0050596675437067,-0.718618010336219
"18",-6,"V18",0.000803751780095481,0.000804398837585389,1.12461062259726
"19",-6,"V19",0.00254595012492115,0.00255246520353642,-0.0318600879712875
"20",-6,"V20",0.00480337375654135,0.00482667050470232,-0.671239970977042
"21",-6,"V21",0.000847701007639457,0.000848420825536661,1.07128500779965
"22",-6,"V22",0.00459513169831631,0.00461644324656507,-0.626496401495401
"23",-6,"V23",0.0027635781400021,0.00277125801096544,-0.114321198758395
"24",-6,"V24",0.0834102056035598,0.091845869313515,-3.70869772691176
"25",-6,"V25",0.00927575523712098,0.0093634290405178,-1.33846383642096
"26",-6,"V26",0.00124228523650327,0.00124383235543169,0.688313449704204
"27",-6,"V27",0.00129996579742708,0.00130166011648593,0.642812308508473
"28",-6,"V28",0.00743820371917264,0.007494369290231,-1.11391929147287
"29",-6,"V29",0.00182913301603626,0.00183249103944591,0.300244841907862
"30",-6,"V30",0.00354485928588321,0.00355751520028345,-0.36487090293918
"31",-6,"V31",0.00339781852938759,0.00340944282979724,-0.322208874166529
"32",-6,"V32",0.00386255700523928,0.00387759273062386,-0.45134438193912
"33",-6,"V33",0.00458895704631217,0.00461021109263079,-0.625139238027627
"34",-6,"V34",0.00783983615444594,0.00790228221871008,-1.16732999793565
"35",-6,"V35",0.00876386745260585,0.00884204928822118,-1.28064476291008
"36",-6,"V36",0.00421173712716172,0.00422962687062644,-0.538597096976455
"37",-6,"V37",0.0253275665586131,0.0260037622075605,-2.37683378684522
"38",-6,"V38",0.0048128367227946,0.00483622580281037,-0.673227302927135
"39",-6,"V39",0.00198875659405324,0.00199272755717034,0.216256231279751
"40",-6,"V40",0.00526615350586025,0.00529418186750649,-0.764161423455317
"41",-6,"V41",0.00103274151097173,0.00103381027465571,0.873469661499894
"42",-6,"V42",0.00225164275579954,0.00225673561141938,0.0915766437268598
"43",-6,"V43",0.0111527800378003,0.011280018863358,-1.52662176014911
"44",-6,"V44",0.00244424394244693,0.00245024765602277,0.00911292101785717
"45",-6,"V45",0.000156766325046653,0.000156790908435621,2.76044063044325
"46",-6,"V46",0.0147524106322119,0.0149767125510487,-1.81383121516109
"47",-6,"V47",0.0322558381532776,0.033369351792317,-2.63382140157402
"48",-6,"V48",0.00168504671833738,0.00168789571026611,0.382583345923531
"49",-6,"V49",0.020669453293374,0.0211153095925638,-2.16358449793119
"50",-6,"V50",0.000502273905037071,0.000502526437857818,1.59535965401608
"51",-6,"V51",0.00154859092830427,0.00155099651850469,0.467305438909344
"52",-6,"V52",0.00439998366534933,0.0044195157851243,-0.582704170944375
"53",-6,"V53",0.00037532062632029,0.000375461597731661,1.88697882957822
"54",-6,"V54",0.0173147350073446,0.0176253893573426,-1.97936772680769
"55",-6,"V55",0.00927569531548754,0.00936336797532895,-1.3384572530879
"56",-6,"V56",0.00108335866054488,0.0010845348764431,0.825518945797471
"57",-6,"V57",0.000502137489340745,0.000502389884937232,1.59563156037276
"58",-6,"V58",0.000261265177265994,0.000261333472449817,2.24945192632264
"59",-6,"V59",0.000682632887550378,0.000683099512494348,1.28818667696205
"60",-6,"V60",0.00579253452217005,0.00582648241955544,-0.860501703309402
"61",-6,"V61",0.00135850500230062,0.0013603555695763,0.598647883494726
"62",-6,"V62",0.000608830560109282,0.000609201686804487,1.40275178073697
"63",-6,"V63",0.00265290611732421,0.0026599816195405,-0.0732274594971757
"64",-6,"V64",0.0173016786752748,0.0176118561524079,-1.97858583150932
"65",-6,"V65",0.000644470112916207,0.000644885990857412,1.34579192113344
"66",-6,"V66",0.0038605664744537,0.00387558664630673,-0.450824881152559
"67",-6,"V67",0.0147400235071592,0.0149639431002672,-1.81296526754561
"68",-6,"V68",0.000983743137786788,0.00098471279707952,0.922175337932673
"69",-6,"V69",0.00354782542606767,0.00356050260486693,-0.365713293339348
"70",-6,"V70",0.00265055943654277,0.00265762239332829,-0.0723377671473736
"71",-6,"V71",0.000644632341765231,0.000645048429241298,1.34553990332965
"72",-6,"V72",0.0118926278231026,0.0120375299504096,-1.5923845539667
"73",-6,"V73",0.0227791712822806,0.0233231401486754,-2.26529015716672
"74",-6,"V74",0.0188328787536579,0.0192015794053166,-2.06662558148696
"75",-6,"V75",0.0050269230498359,0.00505245030390937,-0.717183312410626
"76",-6,"V76",0.000345167454913666,0.000345286677803534,1.97079018952272
"77",-6,"V77",0.00124368111156275,0.00124523171358327,0.687187643396035
"78",-6,"V78",0.00783851336778706,0.00790093819210248,-1.16715854792316
"79",-6,"V79",0.00312493827967948,0.00313476503148208,-0.23793863090816
"80",-6,"V80",0.010468853146731,0.0105808066153627,-1.46192356554172
"81",-6,"V81",0.00300044926602737,0.00300950639476752,-0.197034841947265
"82",-6,"V82",0.00312612314620382,0.00313595737486077,-0.238320116006974
"83",-6,"V83",0.0322193966445491,0.0333303059385033,-2.63261021226122
"84",-6,"V84",0.0434434370552802,0.0455150575159615,-2.95687133787729
"85",-6,"V85",0.0111368906825147,0.0112637630403438,-1.52516316294437
"86",-6,"V86",0.0147565140411709,0.0149809426848992,-1.81411791716217
"87",-6,"V87",0.0028749777319982,0.00288329109956302,-0.154064561426484
"88",-6,"V88",0.000721999631668399,0.000722521669230907,1.23204036359853
"89",-6,"V89",0.0005372948994685,0.000537583895913646,1.52788799627584
"90",-6,"V90",0.0008917442256175,0.000892540854794979,1.02054533027096
"91",-6,"V91",0.000572156538389376,0.000572484276636372,1.46495263909532
"92",-6,"V92",0.00234713569886044,0.00235267075855861,0.0498486605048842
"93",-6,"V93",0.00190940503417771,0.001913064851303,0.25713379168637
"94",-6,"V94",0.00312605782879767,0.00313589164520816,-0.23829908985534
"95",-6,"V95",0.00403186923850796,0.00404825762833332,-0.494587768346265
"96",-6,"V96",0.00190873947379598,0.00191239673506828,0.257483760756462
"97",-6,"V97",0.00206973859473408,0.00207404023764143,0.176180574341046
"98",-6,"V98",6.40733985151051e-05,6.40775044416805e-05,3.65535312082325
"99",-6,"V99",0.00040523018514406,0.000405394529868908,1.8102443404829
"100",-5.9,"V1",0.00119411854740391,0.00119554788214241,0.82795445676805
"101",-5.9,"V2",0.010234829663739,0.010341782121181,-1.33883255731887
"102",-5.9,"V3",0.00114196660556459,0.00114327368027259,0.87271555480607
"103",-5.9,"V4",0.013123405168467,0.0133003032345993,-1.59342110002064
"104",-5.9,"V5",0.001571305605266,0.0015737823962969,0.552698365309909
"105",-5.9,"V6",0.0313159509955925,0.0323633365481194,-2.50216952490582
